ball_x,ball_y,ball_vx,ball_vy,paddle_y
770,300,-4,-4,277
766,296,-4,-4,277
762,292,-4,-4,277
758,288,-4,-4,277
754,284,-4,-4,277
750,280,-4,-4,277
746,276,-4,-4,277
742,272,-4,-4,277
738,268,-4,-4,277
734,264,-4,-4,277
730,260,-4,-4,277
726,256,-4,-4,277
722,252,-4,-4,277
718,248,-4,-4,277
714,244,-4,-4,277
710,240,-4,-4,277
706,236,-4,-4,277
702,232,-4,-4,277
698,228,-4,-4,277
694,224,-4,-4,277
690,220,-4,-4,277
686,216,-4,-4,277
682,212,-4,-4,277
678,208,-4,-4,277
674,204,-4,-4,277
670,200,-4,-4,277
666,196,-4,-4,277
662,192,-4,-4,277
658,188,-4,-4,277
654,184,-4,-4,277
650,180,-4,-4,277
646,176,-4,-4,277
642,172,-4,-4,277
638,168,-4,-4,277
634,164,-4,-4,277
630,160,-4,-4,277
626,156,-4,-4,277
622,152,-4,-4,277
618,148,-4,-4,277
614,144,-4,-4,277
610,140,-4,-4,277
606,136,-4,-4,277
602,132,-4,-4,277
598,128,-4,-4,277
594,124,-4,-4,277
590,120,-4,-4,277
586,116,-4,-4,277
582,112,-4,-4,277
578,108,-4,-4,277
574,104,-4,-4,277
570,100,-4,-4,277
566,96,-4,-4,277
562,92,-4,-4,277
558,88,-4,-4,277
554,84,-4,-4,277
550,80,-4,-4,277
546,76,-4,-4,277
542,72,-4,-4,277
538,68,-4,-4,277
534,64,-4,-4,277
530,60,-4,-4,277
526,56,-4,-4,277
522,52,-4,-4,277
518,48,-4,-4,277
514,44,-4,-4,277
510,40,-4,-4,277
506,36,-4,-4,277
502,32,-4,-4,277
498,28,-4,-4,277
494,24,-4,-4,277
490,20,-4,-4,277
486,24,-4,4,277
482,28,-4,4,277
478,32,-4,4,277
474,36,-4,4,277
470,40,-4,4,277
466,44,-4,4,277
462,48,-4,4,277
458,52,-4,4,277
454,56,-4,4,277
450,60,-4,4,277
446,64,-4,4,277
442,68,-4,4,277
438,72,-4,4,277
434,76,-4,4,277
430,80,-4,4,277
426,84,-4,4,277
422,88,-4,4,277
418,92,-4,4,277
414,96,-4,4,277
410,100,-4,4,277
406,104,-4,4,277
402,108,-4,4,277
398,112,-4,4,277
394,116,-4,4,277
390,120,-4,4,277
386,124,-4,4,277
382,128,-4,4,277
378,132,-4,4,277
374,136,-4,4,277
370,140,-4,4,277
366,144,-4,4,277
362,148,-4,4,277
358,152,-4,4,277
354,156,-4,4,277
350,160,-4,4,277
346,164,-4,4,277
342,168,-4,4,277
338,172,-4,4,277
334,176,-4,4,277
330,180,-4,4,277
326,184,-4,4,277
322,188,-4,4,277
318,192,-4,4,277
314,196,-4,4,277
310,200,-4,4,277
306,204,-4,4,277
302,208,-4,4,277
298,212,-4,4,277
294,216,-4,4,277
290,220,-4,4,277
286,224,-4,4,277
282,228,-4,4,277
278,232,-4,4,277
274,236,-4,4,277
270,240,-4,4,277
266,244,-4,4,277
262,248,-4,4,277
258,252,-4,4,277
254,256,-4,4,277
250,260,-4,4,277
246,264,-4,4,277
242,268,-4,4,277
238,272,-4,4,277
234,276,-4,4,277
230,280,-4,4,277
226,284,-4,4,277
222,288,-4,4,277
218,292,-4,4,277
214,296,-4,4,277
210,300,-4,4,277
206,304,-4,4,277
202,308,-4,4,277
198,312,-4,4,277
194,316,-4,4,277
190,320,-4,4,277
186,324,-4,4,277
182,328,-4,4,277
178,332,-4,4,277
174,336,-4,4,277
170,340,-4,4,277
166,344,-4,4,277
162,348,-4,4,277
158,352,-4,4,277
154,356,-4,4,277
150,360,-4,4,277
146,364,-4,4,277
142,368,-4,4,277
138,372,-4,4,277
134,376,-4,4,277
130,380,-4,4,277
126,384,-4,4,277
122,388,-4,4,277
118,392,-4,4,277
114,396,-4,4,277
110,400,-4,4,277
106,404,-4,4,277
102,408,-4,4,277
98,412,-4,4,277
94,416,-4,4,277
90,420,-4,4,277
86,424,-4,4,277
82,428,-4,4,277
78,432,-4,4,277
74,436,-4,4,277
70,440,-4,4,277
66,444,-4,4,277
62,448,-4,4,277
58,452,-4,4,277
54,456,-4,4,277
50,460,-4,4,277
46,464,-4,4,277
42,468,-4,4,277
38,472,-4,4,277
34,476,-4,4,277
30,480,-4,4,277
26,484,-4,4,277
22,488,-4,4,277
26,492,4,4,277
30,496,4,4,277
34,500,4,4,277
38,504,4,4,277
42,508,4,4,277
46,512,4,4,277
50,516,4,4,277
54,520,4,4,277
58,524,4,4,277
62,528,4,4,277
66,532,4,4,277
70,536,4,4,277
74,540,4,4,277
78,544,4,4,277
82,548,4,4,277
86,552,4,4,277
90,556,4,4,277
94,560,4,4,277
98,564,4,4,277
102,568,4,4,277
106,572,4,4,277
110,576,4,4,277
114,580,4,4,277
118,576,4,-4,277
122,572,4,-4,277
126,568,4,-4,277
130,564,4,-4,277
134,560,4,-4,277
138,556,4,-4,277
142,552,4,-4,277
146,548,4,-4,277
150,544,4,-4,277
154,540,4,-4,277
158,536,4,-4,277
162,532,4,-4,277
166,528,4,-4,277
170,524,4,-4,277
174,520,4,-4,277
178,516,4,-4,277
182,512,4,-4,277
186,508,4,-4,277
190,504,4,-4,277
194,500,4,-4,277
198,496,4,-4,277
202,492,4,-4,277
206,488,4,-4,277
210,484,4,-4,277
214,480,4,-4,277
218,476,4,-4,277
222,472,4,-4,277
226,468,4,-4,277
230,464,4,-4,277
234,460,4,-4,277
238,456,4,-4,277
